,grid_res,time,RMSE,loss,type
128,300,37.8086097240448,3.656462853255041e-05,0.0006906249782121787,PI
129,300,60.47960305213928,0.0008029126645564992,0.0005325706179367673,PI
130,400,31.77158260345459,0.001183588988682938,0.0005991970130186097,PI
131,400,35.15499997138977,0.00021799543849487533,0.0006963754734039818,PI
132,400,32.252052307128906,0.00025093127274047704,0.0007135434623216641,PI
133,400,42.96000003814697,0.0005311389206174447,0.0006850977888566215,PI
134,400,68.792001247406,0.0011520674285644059,0.0006747184338690149,PI
135,400,24.04900050163269,0.00044438437286734586,0.000516334305503463,PI
136,400,34.93899989128113,4.192115704005555e-05,0.0006606885181956734,PI
137,400,44.54300093650818,0.0002893132678442145,0.0005208527625444603,PI
138,400,41.37600088119507,0.0008127824445486864,0.0004989948486411322,PI
139,400,82.22199988365173,0.0006872962007316827,0.0005496787964700822,PI
140,500,48.57400035858154,0.0011161553723502491,0.0006727615683321808,PI
141,500,55.59205961227417,0.000414149749467339,0.0007358484849227243,PI
142,500,46.21350955963135,0.00036245820458506836,0.0007819576501972847,PI
143,500,36.123000144958496,0.00037988637428979806,0.00045993164027580136,PI
144,500,43.320000886917114,0.0006449662660468677,0.0008571826884939005,PI
145,500,29.61300230026245,0.00010241157496240647,0.00047729036143850934,PI
146,500,34.74002718925476,0.0001777823118184529,0.00046337244242389275,PI
147,500,26.32864761352539,0.0007167564266974719,0.0006371946124095196,PI
148,500,39.355698585510254,0.0003427981874169853,0.0005843931796337687,PI
149,500,68.80397367477417,0.00018718632066209127,0.00039886206153394443,PI
